Year,Country,Units,Source,Electricity Generation (GWh)
2010,Russian Federation,GWh,Hydro,168397
2015,Russian Federation,GWh,Hydro,169914
2019,Russian Federation,GWh,Hydro,196169
1990,United States,GWh,Hydro,288960
1995,United States,GWh,Hydro,337856
2000,United States,GWh,Hydro,279986
2005,United States,GWh,Hydro,297926
2010,United States,GWh,Hydro,286333
2015,United States,GWh,Hydro,271129
2019,United States,GWh,Hydro,296701
1990,World,GWh,Hydro,2191674
1995,World,GWh,Hydro,2545918
2000,World,GWh,Hydro,2695591
2005,World,GWh,Hydro,3019509
2010,World,GWh,Hydro,3535266
2015,World,GWh,Hydro,3982151
2018,World,GWh,Hydro,4325111
1990,China,GWh,Natural gas,2771
1995,China,GWh,Natural gas,3071
2000,China,GWh,Natural gas,18013
2005,China,GWh,Natural gas,23412
2010,China,GWh,Natural gas,92460
2015,China,GWh,Natural gas,158196
2018,China,GWh,Natural gas,236872
1990,India,GWh,Natural gas,9958
1995,India,GWh,Natural gas,29434
2000,India,GWh,Natural gas,55964
2005,India,GWh,Natural gas,75467
2010,India,GWh,Natural gas,113289
2015,India,GWh,Natural gas,68205
2019,India,GWh,Natural gas,71564
1990,Japan,GWh,Natural gas,168449
1995,Japan,GWh,Natural gas,198584
2000,Japan,GWh,Natural gas,258321
2005,Japan,GWh,Natural gas,247712
2010,Japan,GWh,Natural gas,325749
2015,Japan,GWh,Natural gas,409360
2019,Japan,GWh,Natural gas,338984
1990,Russian Federation,GWh,Natural gas,512194
1995,Russian Federation,GWh,Natural gas,354056
2000,Russian Federation,GWh,Natural gas,370372
2005,Russian Federation,GWh,Natural gas,439312
2010,Russian Federation,GWh,Natural gas,520529
2015,Russian Federation,GWh,Natural gas,529749
2019,Russian Federation,GWh,Natural gas,519149
1990,United States,GWh,Natural gas,381669
1995,United States,GWh,Natural gas,528844
2000,United States,GWh,Natural gas,634290
2005,United States,GWh,Natural gas,782829
2010,United States,GWh,Natural gas,1017869
2015,United States,GWh,Natural gas,1372570
2019,United States,GWh,Natural gas,1634595
1990,World,GWh,Natural gas,1748624
1995,World,GWh,Natural gas,2020958
2000,World,GWh,Natural gas,2774747
2005,World,GWh,Natural gas,3706208
